********** SWISU  42 observations **********
LotConfig_FR2         -0.058982
LandContour_HLS        0.049979
ExterQual_TA          -0.048122
Condition1_Norm        0.040065
BsmtFinType1_GLQ       0.036167
LotConfig_Inside      -0.032904
MasVnrType_None       -0.026564
HouseStyle_SLvl       -0.024523
HeatingQC_Gd          -0.023026
Exterior1st_VinylSd    0.018783



********** Timber  54 observations **********
GrLivArea             0.314458
OverallQual           0.210638
1stFlrSF              0.170372
BsmtFinSF1            0.129071
BsmtQual_TA          -0.115854
LandContour_Lvl      -0.100330
FireplaceQu_Gd        0.098324
HeatingQC_Gd          0.065153
BsmtExposure_Gd       0.058344
BldgType_TwnhsE       0.054386
BsmtFullBath          0.054314
BsmtExposure_Mn      -0.050674
GarageYrBlt_2008.0    0.050117
Foundation_CBlock    -0.048689
Functional_Typ        0.047465



********** Somerst  145 observations **********
GrLivArea              0.477898
1stFlrSF               0.191668
BsmtFinSF1             0.185783
OverallQual            0.150695
MSSubClass            -0.078496
LotConfig_FR2         -0.072715
BsmtQual_Gd           -0.051953
Alley_None             0.050864
GarageArea             0.044568
KitchenQual_Gd        -0.039918
BsmtExposure_No       -0.039008
BldgType_Twnhs        -0.026389
FireplaceQu_None      -0.024891
SaleType_WD           -0.020913
Exterior1st_MetalSd   -0.020149



********** BrkSide  104 observations **********
GrLivArea              0.480453
TotalBsmtSF            0.352103
OverallCond            0.257108
OverallQual            0.256605
LotArea                0.174330
GarageArea             0.115637
GarageYrBlt_1965.0    -0.107497
MiscFeature_None       0.066590
Exterior1st_VinylSd   -0.063314
Functional_Maj2       -0.062680
HouseStyle_1Story     -0.054501
MSZoning_RL            0.054007
Alley_None            -0.053000
LotConfig_Inside       0.052890
YearRemodAdd           0.047027



********** NoRidge  67 observations **********
GrLivArea             0.477106
OverallQual           0.184597
FullBath              0.141941
BsmtFinSF1            0.106168
TotalBsmtSF           0.098767
MasVnrArea            0.094669
GarageArea            0.072473
LotArea               0.056879
GarageYrBlt_1992.0   -0.045229
MoSold               -0.044876
BsmtQual_Gd          -0.042831
GarageCars            0.040459
RoofStyle_Gable      -0.038617
KitchenQual_Gd       -0.038101
LotConfig_FR2        -0.029820



********** Sawyer  141 observations **********
1stFlrSF              0.153117
GrLivArea             0.137570
WoodDeckSF            0.125215
BsmtQual_None        -0.116934
HouseStyle_1Story    -0.094596
GarageYrBlt_1965.0   -0.087900
GarageQual_TA         0.084899
OverallCond           0.073182
BsmtFullBath          0.069317
